name,link,min_salary,max_salary,currency
Python Backend разработчик,https://lipetsk.hh.ru/vacancy/81930964?from=vacancy_search_list&query=python,None,None,None
Python Developer,https://lipetsk.hh.ru/vacancy/78687532?from=vacancy_search_list&query=python,None,None,None
"Разработчик Python, удаленно",https://lipetsk.hh.ru/vacancy/83161563?from=vacancy_search_list&query=python,200000,350000,₽
Middle Python developer,https://lipetsk.hh.ru/vacancy/72687504?from=vacancy_search_list&query=python,150000,200000,₽
Программист Python Аналитик данных,https://lipetsk.hh.ru/vacancy/83332610?from=vacancy_search_list&query=python,250000,None,₽
Преподаватель Python,https://lipetsk.hh.ru/vacancy/83128333?from=vacancy_search_list&query=python,75000,125000,₽
Наставник на курсы для подростков по Python-разработке,https://lipetsk.hh.ru/vacancy/83222866?from=vacancy_search_list&query=python,None,None,None
Senior Python developer (Django),https://lipetsk.hh.ru/vacancy/83962890?from=vacancy_search_list&query=python,5200,None,$
Junior Python Developer,https://lipetsk.hh.ru/vacancy/83385826?from=vacancy_search_list&query=python,None,None,None
Python Django - ментор,https://lipetsk.hh.ru/vacancy/83064869?from=vacancy_search_list&query=python,None,None,None
Разработчик Python/Developer Python,https://lipetsk.hh.ru/vacancy/83461035?from=vacancy_search_list&query=python,250000,400000,₽
Педагог дополнительного образования по направлению Программирование на Python,https://lipetsk.hh.ru/vacancy/83950784?from=vacancy_search_list&query=python,45000,None,₽
Python разработчик (удалённо),https://lipetsk.hh.ru/vacancy/82039217?from=vacancy_search_list&query=python,200000,280000,₽
Разработчик Python,https://lipetsk.hh.ru/vacancy/83453023?from=vacancy_search_list&query=python,170000,None,₽
Программист Python,https://lipetsk.hh.ru/vacancy/80505413?from=vacancy_search_list&query=python,115000,220000,₽
Аналитик данных (Python),https://lipetsk.hh.ru/vacancy/83373693?from=vacancy_search_list&query=python,200000,None,₽
Программист Python,https://lipetsk.hh.ru/vacancy/83345305?from=vacancy_search_list&query=python,70000,250000,₽
Программист Python,https://lipetsk.hh.ru/vacancy/80505531?from=vacancy_search_list&query=python,125000,220000,₽
Разработчик Python (FastAPI),https://lipetsk.hh.ru/vacancy/83267180?from=vacancy_search_list&query=python,200000,None,₽
Python developer,https://lipetsk.hh.ru/vacancy/46229759?from=vacancy_search_list&query=python,150000,250000,₽
Программист-разработчик Python,https://lipetsk.hh.ru/vacancy/83558084?from=vacancy_search_list&query=python,None,None,None
Backend-разработчик Python/Django,https://lipetsk.hh.ru/vacancy/83752469?from=vacancy_search_list&query=python,130000,None,₽
Python-разработчик / Junior Python Developer,https://lipetsk.hh.ru/vacancy/83041941?from=vacancy_search_list&query=python,100000,150000,₽
Ведущий Python-developer,https://lipetsk.hh.ru/vacancy/83748034?from=vacancy_search_list&query=python,220000,340000,₽
Разработчик (python) - администратор системы,https://lipetsk.hh.ru/vacancy/83641799?from=vacancy_search_list&query=python,90000,None,₽
Разработчик Python (Продукт в сфере кибербезопасности),https://lipetsk.hh.ru/vacancy/83000538?from=vacancy_search_list&query=python,2000,None,$
